Plant,Butterfly Weed,Asclepias Tuberosa,butterflyweed,Andropogon virginicus-Schizachyrium scoparium-Echinacea purpurea-Coreopsis verticillata-Solidago odora,full sun,early summer-mid summer,N/a,bees-wasps-beetles-monarch butterflies-queen butterflies-milkweed tussock moths-sulphur butterflies-crescent butterflies-great spangles fritillaries,2,Flower
Inanimate,Chair,N/a,chair,N/a,N/a,N/a,N/a,N/a,3,N/a
Plant,Culver's Root,Veronicastrum Virginicum,culversroot,Andropogon virginicus-Rudbeckia maxima-Vernonia noveboracensis-Echinacea purpurea,full sun,early summer-mid summer,N/a,honeybees-bumblebees-mason bees-green metallic bees-masked bees-sphecid wasps-butterflies-moths-syrphid flies,1,Flower
Plant,Downy Skullcap,Scutellaria Incana,downyscullcap,Carex grayi-Rhexia virginica-Iris versicolor-Eutrochium maculatum ‘Gateway’-Gentiana clausa,filtered shade-full sun,mid summer,songbirds,bees-moths,1,Flower
Plant,Dusty Zenobia,Zenobia Pulverulenta,dustzen,Sarracenia purpurea-Spiranthes odorata-Rhododendron atlanticum-Dicentra eximia-Heuchera villosa,filtered shade-full sun,late spring-mid spring,small mammals-songbirds,N/a,1,Bush
Plant,False Bugbane,Trautvetteria Caroliniensis,falsebugbane,Athyrium filix-femina-Gentiana clausa-Lobelia siphilitica-Chelone obliqua,filtered shade-partial shade,early summer-late spring,N/a,N/a,1,Stalk
Inanimate,Firepit,N/a,firepit,N/a,N/a,N/a,N/a,N/a,2,N/a
Plant,Flowering Dogwood,Cornus Florida,floweringdogwood,Calycanthus floridus-Rhododendron periclymenoides-Kalmia latifolia-Leucothoe fontanesiana-Viburnum acerifolium-Geranium maculatum-Polystichum acrostichoides,filtered shade-full sun-partial shade,mid spring-late spring,bluebirds-grosbeaks-tufted titmouse-cedar waxwings-northern flickers-American robins-northern cardinals-juncos-thrashers-woodpeckers-crows-grackles-wild turkey-bobwhite quail-squirrels-black bear-skunks-rabbits,N/a,20,Tree
Plant,Foamflower,Tiarella Cordifolia,foamflower,Phlox stolonifera-Dicentra cucullaria-Athyrium filix-femina ssp. Angustum-Adiantum pedatum-Trillium grandiflorum,filtered shade-partial shade,early spring-mid spring,N/a,bees-butterflies,1,Flower
Inanimate,Fountain,N/a,fountain,N/a,N/a,N/a,N/a,N/a,3,N/a
Animal,Fox,Vulpes vulpes ,Coyotes-Gray Wolves-Bears-Mountain Lions,Rabbits-Birds-Frogs,Wild Grass-Berries-Fruit,Yes,N/a,N/a,0,N/a
Inanimate,Gazebo,N/a,gazebo,N/a,N/a,N/a,N/a,N/a,12,N/a
Plant,Georgia Aster,Symphyotrichum Georgianum,georgiaaster,Schizachyrium scoparium-Andropogon virginicus- Muhlenbergia capillaris-Helianthus angustifolius ‘Mellow Yellow’-Rudbeckia fulgida-Euthamia caroliniana-Symphyotrichum laeve var. laeve ‘Bluebird’,filtered shade-full sun,late fall-mid fall,songbirds-small mammals,bees-butterflies,1,Bush
Inanimate,Gnome,N/a,gnome,N/a,N/a,N/a,N/a,N/a,1,N/a
Plant,Hairy Stem Spiderword,Tradescantia Hirsutcaulis,hairystemspiderwort,Oenothera fruiticosa-Salvia lyrata ‘Purple Knockout’-Opuntia humifusa-Baptisia australis-Spigelia marilandica,partial shade,early summer-late spring,N/a,N/a,1,Flower
Inanimate,Hummingbird Feeder,N/a,hummingbirdfeeder,N/a,N/a,N/a,N/a,N/a,1,N/a
Plant,Indian Pink,Spigelia Marilandica,indianpink,Dryopteris intermedia-Chrysogonum virginianum-Lilium superbum-Aquilegia canadensis,filtered shade-full sun,early summer,hummingbirds,N/a,1,Flower
Plant,Lance-Leaf Trillium,Trillium Lancifolium,lanceleaftrillium,Claytonia virginiana-Thalictrum thalictroides-Houstonia purpurea,filtered shade-partial shade-full shade,late spring-mid spring,N/a,N/a,6,Flower
Plant,Large Flowered Bellwort,Uvularia Grandiflora,bellwort,Trillium cuneatum-Mertensia virginica-Stylophorum diphyllum-Asarum canadense-Trillium luteum-Polemonium reptans,filtered shade-partial shade,early spring-mid spring,deer,bees-butterfly,3,Flower
Inanimate,Lightpost,N/a,lightpost,N/a,N/a,N/a,N/a,N/a,7,N/a
Plant,Lowbush Blueberry,Vaccinium Angustifolium,lowbushblueberry,Epigea repens-Kalmia latifolia-Gaultheria procumbens-Polystichum acrostichoides-Dryopteris intermedia,filtered shade-full sun-partial shade,mid spring,N/a,bees-butterflies,2,Bush
Plant,Maple-Leaved Viburnum,Viburnum Aceirfolium,mapleleavedviburnum,Halesia tetraptera-Cornus florida-Polystichum acrostichoides-Xanthorhiza simplicissima-Uvularia grandiflora-Symphyotrichum lateriflorum,filtered shade-partial shade,early summer-late spring,songbirds-grouse-wild turkeys-squirels-white tailed deer,N/a,6,Bush
Plant,MoonBeam Whorled Tickseed,Coreopsis Veticillata,moonbeam,Stokesia laevis-Echinacea purpurea-Bigelowia nuttallii-Eurybia divaricata,filtered shade-full sun,late summer-mid summer,hummingbirds,butterflies,1.5,Bush
Plant,New York Ironweed,Vernonia Noveboracensis,newyorkironweed,Andropogon virginicus-Helianthus angustifolius-Conoclinium coelestinum-Symphyotrichum novae-Angliae-Liatris spicata-Helianthus microcephalus,filtered shade-full sun,early fall-late summer,N/a,butterflies-bees-melissodes (Eumelissodes) denticulatus (bees),6,Flower
Plant,Nodding Trillium,Trillium Flexipes,noddingtrillium,Thalictrum thalictroides-Delphinium tricorne-Phlox divariticata-Osmundastrum cinnamomeum-Stylophorum diphyllum-Mertensia virginica,filtered shade-partial shade,early spring-mid spring,small mammals-songbirds,bees-ants-moths,1.5,Flower
Plant,Pamela Copeland Large-Flowered Trillium,"Trillium Grandiflorum ""Pamela Copeland""",pclargefloweredtrillium,Phlox divaricata-Cypripedium parviflorum var. pubescens-Iris cristata,filtered shade-partial shade,mid spring,small mammals-songbirds,bees-moths,1.5,Bush
Inanimate,Picnic Table,N/a,picnictable,N/a,N/a,N/a,N/a,N/a,3,N/a
Plant,Pink Pearl Rue Anenome,"Thalictrum Thalictroides ""Pink Pearl""",pinkpearlrueanenome,N/a,partial shade-full shade,early spring,N/a,N/a,1,Bush
Inanimate,Pool,N/a,pool,N/a,N/a,N/a,N/a,N/a,5,N/a
Plant,Prairie Dropseed,Sporobolus Heterolepis,prairiedropseed,Schizachyrium scoparium-Liatris pilosa-Euthamia caroliniana-Pycnanthemum tenuifolium-Chrysopsis mariana-Asclepias tuberosa,filtered shade-full sun,early fall-late summer-mid summer,birds,grasshoppers-leafhoppers,3,Grass
Plant,Purple Milkweed,Asclepias Purpurascens,purplemilkweed,Gentiana clausa-Schizachyrium scoparium-VeronicastrumÂ virginicum-Liatris spicata,full sun,early summer-mid summer,hummingbirds,long tongued-bees-butterflies,4,Flower
Plant,Quicksilver Large Flowered Trillium,"Trillium Grandiflorum ""Quicksilver""",qlargefloweredtrillium,Phlox divaricata-Cupripedium parviflorum var. pubescens-Iris cristata,filtered shade-partial shade,mid spring,songbirds-small mammals,bees-moths,1,Bush
Plant,Reflexed Spiderwort,Tradescantia Ohiensis,reflexedspiderwort,Liatris microcephala-Packera anonyma-Schizachyrium scoparium-Callicarpa americana-Phlox pilosa ssp. Ozarkana-Chrysogonum virginianum,filtered shade-full sun,early summer-late spring,N/a,N/a,3,Flower
Inanimate,Rock,N/a,rock,N/a,N/a,N/a,N/a,N/a,1,N/a
Inanimate,Rocking Chair,N/a,rockingchair,N/a,N/a,N/a,N/a,N/a,3,N/a
Plant,Rusty Black Haw,Viburnum Rufidulum,rustyblackhaw,Callicarpa amerciana-Lindera benzoin-Ilex verticillata-Viburnum acerifolium-Pachysandra procumbens-Hydrangea quercifolia,filtered shade-full sun-partial shade,late spring-mid spring,songbirds-squirrels-chipmunks,spring azure butterflies-summer azure butterflies,10,Tree
Plant,Sessile Trillium,Trillium Sessile,sessiletrillium,Phlox divaricata-Carex plantaginea-Enemion biternatum-Thalictrum thalictroides-Asarum canadense-Erythronium americanum-Dicentra cucullaria-Uvularia sessilifolia,filtered shade-partial shade-full shade,mid spring,N/a,N/a,6,Bush
Inanimate,Shed,N/a,shed,N/a,N/a,N/a,N/a,N/a,10,N/a
Plant,Silky Camellia,Stewartia Malacodendron,silkycamellia,Chamaelirium luteum-Dicentra eximia-Lilium michauxii-Iris verna-Kalmia latifolia-Clematis viorna-Rhododendron canescens-Vaccinium corymbosum,filtered shade-full sun,early summer-late spring,N/a,N/a,2,Tree
Plant,Snow Flurry White Heath Aster,"Symphyotrichum Ericoides var. Prostratum ""Snow Flurry",snowflurrywhiteheathaster,Silene virginica-Aquilegia canadensis-Opuntia humifusa-Amsonia ciliata var. tenuifolia,filtered shade-full sun,early fall-late summer-mid fall,N/a,N/a,1,Bush
Plant,Southern Red Trillium,Trillium Sulcatum,southtrill,Prosartes lanuginosa-Polystichum acrostichoides-Stylophorum diphyllum-Phlox divaricata-Caulophyllum thalictroides-Mertensia virginica-Hydrophyllum virginianum,partial shade-full shade,mid spring,small mammals-songbirds,bees-ants,1,Flower
Plant,Stemless Ironweed,Vernonia Acaulis,stemlessironweed,Pityopsis graminifolia-Symphyotrichum oblongifolium-Rudbeckia hirta,filtered shade-full sun,early fall-late summer-mid Summer,birds-hummingbirds,melissodes (Eumelissodes) denticulatus (bees),3,Flower
Inanimate,Table,N/a,table,N/a,N/a,N/a,N/a,N/a,3,N/a
Plant,Tall Ironweed,Vernonia Angustifolia,tallironweed,Schizachyrium scoparium-Andropogon virginicus-Sporobolus heterolepis-Helianthus angustifolius-Rudbeckia fulgida-Liatris pilosa var. pilosa,filtered shade-full sun,early fall,N/a,melissodes (Eumelissodes) denticulatus (bees),5,Flower
Plant,Toad Trillium,Trillium Cuneatum,toadtrillium,Polystichum acrostichoidesTiarella cordifolia-Rhododendron periclymenoides-Leucothoe fontanesiana-Uvularia grandiflora-Phlox divaricata,filtered shade-partial shade,early spring-mid spring,small mammals-songbirds,bees-moths,1,Flower
Inanimate,Trellis,N/a,trellis,N/a,N/a,N/a,N/a,N/a,5,N/a
Plant,Twisted Trillium,Trillium Stamineum,twisttrill,Thalictrum thalictroides-Dodecatheon meadia-Carex plantaginea-Trillium decumbens-Adiantum capillus veneris,filtered shade-partial shade,mid spring,N/a,N/a,3,Flower
Plant,Yellow Indian Grass,Sorghastrum Nutans,yellowindiangrass,Schizachyrium scoparium-Andropogon virginicus-Andropogon gerardii-Asclepias tuberosa-Rudbeckia fulgida-Echinacea purpurea,full sun,mid summer,songbirds-small mammals,butterflies,5,Grass
Plant,Yellow Trillium,Trillium Luteum,yellowtrillium,Phlox divaricata-Uvularia grandiflora-Geum fragarioides-Cypripedium parviflorum var. pubescens-Adiantum pedatum,filtered shade-partial shade,mid spring,N/a,bees-moths,1.5,Flower
Plant,Yellowroot,Xanthorhiza Simplicissima,yellowroot,Kalmia latifolia-Rhododendron maximum-Cornus florida-Clethra alnifolia,filtered shade-full sun-partial shade,early spring-mid spring,game birds-songbirds-small animals,N/a,1,Bush
Plant,Test Weed,Testium Weedium,yellowroot,Kalmia latifolia-Rhododendron maximum-Cornus florida-Clethra alnifolia,filtered shade-full sun-partial shade,early spring-mid spring,game birds-songbirds-small animals,N/a,1,Bush
